SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
saweye1,Samoan White-eye,Samoan White-eye
robwhe1,Robust White-eye,Robust White-eye
sbweye1,Slender-billed White-eye,Slender-billed White-eye
slweye1,Small Lifou White-eye,Small Lifou White-eye
gnbwhe1,Green-backed White-eye,Green-backed White-eye
reweye1,Rennell White-eye,Rennell White-eye
zoster1,未识别的Zosterops属绣眼鸟,Zosterops sp.
whitee1,未识别的绣眼鸟类,white-eye sp.
chcbab1,红顶鹛,Chestnut-capped Babbler
tabbab1,Tawny-bellied Babbler,Tawny-bellied Babbler
tabbab2,Tawny-bellied Babbler (Tawny-bellied),Tawny-bellied Babbler (Tawny-bellied)
tabbab5,Tawny-bellied Babbler (White-throated),Tawny-bellied Babbler (White-throated)
dafbab1,Dark-fronted Babbler,Dark-fronted Babbler
dafbab2,Dark-fronted Babbler (atriceps),Dark-fronted Babbler (atriceps)
dafbab3,Dark-fronted Babbler (bourdilloni),Dark-fronted Babbler (bourdilloni)
dafbab4,Dark-fronted Babbler (siccata),Dark-fronted Babbler (siccata)
dafbab5,Dark-fronted Babbler (nigrifrons),Dark-fronted Babbler (nigrifrons)
gyftib1,Grey-faced Tit-Babbler,Gray-faced Tit-Babbler
gyctib1,Grey-cheeked Tit-Babbler,Gray-cheeked Tit-Babbler
gyctib3,Kangean Tit-Babbler,Kangean Tit-Babbler
sttbab1,纹胸鹛 (纹胸巨鹛),Pin-striped Tit-Babbler
pistib1,纹胸鹛 (褐背),Pin-striped Tit-Babbler (Pin-striped)
pistib2,纹胸鹛 (灰背),Pin-striped Tit-Babbler (Palawan)
y01051,Grey-faced/Pin-striped Tit-Babbler,Gray-faced/Pin-striped Tit-Babbler
bostib1,Bold-striped Tit-Babbler,Bold-striped Tit-Babbler
bostib2,Bold-striped Tit-Babbler (Bold-striped),Bold-striped Tit-Babbler (Bold-striped)
bostib3,Bold-striped Tit-Babbler (Mapun),Bold-striped Tit-Babbler (Mapun)
fbtbab1,Fluffy-backed Tit-Babbler,Fluffy-backed Tit-Babbler
brtbab1,Brown Tit-Babbler,Brown Tit-Babbler
golbab1,金头穗鹛,Golden Babbler
chwbab1,Chestnut-winged Babbler,Chestnut-winged Babbler
chwbab3,Grey-hooded Babbler,Gray-hooded Babbler
crcbab1,Crescent-chested Babbler,Crescent-chested Babbler
rufbab10,黄喉穗鹛/红额穗鹛,Rufous-fronted Babbler
bucbab1,黄喉穗鹛,Rufous-fronted Babbler (Buff-chested)
rufbab2,红额穗鹛,Rufous-fronted Babbler (Rufous-fronted)
blcbab2,黑颏穗鹛,Black-chinned Babbler
rucbab1,红头穗鹛,Rufous-capped Babbler
cyanod1,未识别的Cyanoderma属穗鹛,Cyanoderma sp.
rtwbab1,短尾鹩鹛,Rufous-throated Wren-Babbler
miswrb1,锈喉鹩鹛,Mishmi Wren-Babbler
bwwbab1,斑翅鹩鹛,Bar-winged Wren-Babbler
patwrb1,淡喉鹩鹛,Pale-throated Wren-Babbler
ltwbab1,Naga Wren-Babbler,Naga Wren-Babbler
chhwrb1,Chin Hills Wren-Babbler,Chin Hills Wren-Babbler
tbwbab1,Tawny-breasted Wren-Babbler,Tawny-breasted Wren-Babbler
gybwrb1,灰腹鹩鹛 (长尾鹩鹛),Gray-bellied Wren-Babbler
liswrb1,Lisu Wren-Babbler (undescribed form),Lisu Wren-Babbler (undescribed form)
spelae1,未识别的Spelaeornis属鹩鹛,Spelaeornis sp.
blalau1,Black Laughingthrush,Black Laughingthrush
bahlau1,Bare-headed Laughingthrush,Bare-headed Laughingthrush
cobscb1,黑冠钩嘴鹛,Black-crowned Scimitar-Babbler
bncscb1,红嘴钩嘴鹛,Brown-crowned Scimitar-Babbler
cobscb2,红嘴钩嘴鹛 (滇西),Brown-crowned Scimitar-Babbler (Phayre's)
cobscb3,红嘴钩嘴鹛 (滇东南),Brown-crowned Scimitar-Babbler (albogularis Group)
cbsbab2,黑冠钩嘴鹛/红嘴钩嘴鹛,Black-crowned/Brown-crowned Scimitar-Babbler
rbsbab1,棕头钩嘴鹛,Red-billed Scimitar-Babbler
y01110,黑冠钩嘴鹛/棕头钩嘴鹛,Black-crowned/Red-billed Scimitar-Babbler
y01199,红嘴钩嘴鹛/棕头钩嘴鹛,Brown-crowned/Red-billed Scimitar-Babbler
sbsbab1,剑嘴鹛,Slender-billed Scimitar-Babbler
sbsbab3,棕颈钩嘴鹛,Streak-breasted Scimitar-Babbler
taiscb1,台湾棕颈钩嘴鹛,Taiwan Scimitar-Babbler
wbsbab1,灰头钩嘴鹛,White-browed Scimitar-Babbler
y01119,棕颈钩嘴鹛/灰头钩嘴鹛,Streak-breasted/White-browed Scimitar-Babbler
insbab1,Indian Scimitar Babbler,Indian Scimitar-Babbler
srlscb1,Sri Lanka Scimitar Babbler,Sri Lanka Scimitar-Babbler
chbscb2,Sunda Scimitar Babbler,Sunda Scimitar-Babbler
chbscb1,Javan Scimitar Babbler,Javan Scimitar-Babbler
pomato1,Pomatorhinus sp.,Pomatorhinus sp.
lasbab1,长嘴钩嘴鹛,Large Scimitar-Babbler
rcsbab1,锈脸钩嘴鹛,Rusty-cheeked Scimitar-Babbler
reescb1,红眼钩嘴鹛,Red-eyed Scimitar-Babbler
spbscb1,印度斑胸钩嘴鹛,Spot-breasted Scimitar-Babbler
bksscb1,斑胸钩嘴鹛,Black-streaked Scimitar-Babbler
gysscb1,华南斑胸钩嘴鹛,Gray-sided Scimitar-Babbler
y01316,斑胸钩嘴鹛/华南斑胸钩嘴鹛,Black-streaked/Gray-sided Scimitar-Babbler
sbsbab2,台湾斑胸钩嘴鹛,Black-necklaced Scimitar-Babbler
bltbab1,Black-throated Babbler,Black-throated Babbler
whbbab2,White-breasted Babbler,White-breasted Babbler
chrbab1,Chestnut-rumped Babbler,Chestnut-rumped Babbler
gytbab1,黑头穗鹛,Gray-throated Babbler
gyhbab1,Grey-headed Babbler,Gray-headed Babbler
nonbab1,弄岗穗鹛,Nonggang Babbler
soobab1,Sooty Babbler,Sooty Babbler
wbwbab1,黑胸楔嘴穗鹛 (黑胸楔嘴鹩鹛),Sikkim Wedge-billed Babbler
chbbab1,楔嘴穗鹛 (楔嘴鹩鹛),Cachar Wedge-billed Babbler
whnbab1,White-necked Babbler,White-necked Babbler
whbbab1,White-bibbed Babbler,White-bibbed Babbler
sntbab1,奥氏穗鹛,Snowy-throated Babbler
spnbab1,斑颈穗鹛,Spot-necked Babbler
stachy1,未识别的Stachyris属穗鹛,Stachyris sp.
babble1,未识别的鹛科鸟类,Timaliidae sp.
rurgra1,南亚草鹛,Indian Grassbird
chigra1,中华草鹛 (大草莺),Chinese Grassbird
lawbab1,Large Wren-Babbler,Large Wren-Babbler
mawbab1,Marbled Wren-Babbler,Marbled Wren-Babbler
btwbab1,Black-throated Wren-Babbler,Black-throated Wren-Babbler
socbab1,Sooty-capped Babbler,Sooty-capped Babbler
gybbab1,Grey-breasted Babbler,Gray-breasted Babbler
sccbab1,Scaly-crowned Babbler,Scaly-crowned Babbler
rucbab2,Rufous-crowned Babbler,Rufous-crowned Babbler
moubab1,Moustached Babbler,Moustached Babbler
palbab1,Melodious Babbler,Palawan Babbler
malaco1,Malacopteron sp.,Malacopteron sp.
whhbab2,白头鵙鹛,White-hooded Babbler
colbab1,领鵙鹛,Collared Babbler
yetful1,黄喉雀鹛,Yellow-throated Fulvetta
ruwful1,栗头雀鹛,Rufous-winged Fulvetta
bkcful1,Black-crowned Fulvetta,Black-crowned Fulvetta
gofful2,金额雀鹛,Gold-fronted Fulvetta
rutful1,棕喉雀鹛,Rufous-throated Fulvetta
rucful1,褐胁雀鹛,Rusty-capped Fulvetta
dusful1,褐顶雀鹛,Dusky Fulvetta
fulvet1,未识别的Schoeniparus属雀鹛,Schoeniparus sp.
putbab1,棕头幽鹛,Puff-throated Babbler
bncbab1,Brown-capped Babbler,Brown-capped Babbler
marbab2,Marsh Babbler,Marsh Babbler
bkcbab1,Malayan Black-capped Babbler,Malayan Black-capped Babbler
bbcbab1,Bornean Black-capped Babbler,Bornean Black-capped Babbler
bkcbab2,Javan Black-capped Babbler,Javan Black-capped Babbler
shtbab1,Mourning/Leaflitter/Glissando Babbler,Short-tailed Babbler
shtbab2,Mourning Babbler,Short-tailed Babbler (Mourning)
shtbab4,Glissando Babbler,Short-tailed Babbler (Glissando)
shtbab6,Leaflitter Babbler,Short-tailed Babbler (Leaflitter)
